Class, Wavelength (microns), Reduced chi-squared (linear space), Reduced chi-squared (log10 space), Correlation coefficient (linear space), Correlation coefficient (log10 space)
0, 36000.29516661664, nan, -11.931267498518682, 0.4779758935624197, 0.7487753862922804
1a, 36000.29516661664, nan, -18.48508011060474, 0.3430431752281454, 0.8872588959927756
1b, 36000.29516661664, nan, -47.68333527365829, 0.434629846098903, 0.8862533938762867
All, 36000.29516661664, nan, -150.01327860149118, 0.22262974477742054, 0.8363560473336938
0, 24000.196777744422, nan, -9.434474792060026, 0.5763961874773629, 0.8106424226971857
1a, 24000.196777744422, nan, -19.522647580769082, 0.3432243034878082, 0.8886151893706373
1b, 24000.196777744422, nan, -49.67984799424508, 0.4354898818070999, 0.8878527978753309
All, 24000.196777744422, nan, -151.19187032697107, 0.23339634111465227, 0.8438647878526075
0, 16000.131185162949, nan, -7.930409448732, 0.6062128700687265, 0.8508911316990584
1a, 16000.131185162949, nan, -20.59199641898021, 0.343833798476992, 0.889708619358982
1b, 16000.131185162949, nan, -51.87755302062507, 0.43702563939281425, 0.8890577259368337
All, 16000.131185162949, nan, -154.38303229328957, 0.23675530788141905, 0.8491289846792719
0, 13000.106718037026, nan, -7.467547723750246, 0.6111858226655151, 0.864877919191328
1a, 13000.106718037026, nan, -21.14824313183425, 0.34433098094174414, 0.8903326273964058
1b, 13000.106718037026, nan, -53.06359646658875, 0.43814256952566893, 0.8896571278267927
All, 13000.106718037026, nan, -156.68826024824756, 0.23770167565772596, 0.8512546551329246
0, 11000.090336570136, nan, -7.215275229667432, 0.6133253118292756, 0.8736455666986573
1a, 11000.090336570136, nan, -21.60096800266636, 0.34483942262342054, 0.8909071535802722
1b, 11000.090336570136, nan, -54.04303190604057, 0.43924315762763166, 0.8901705481005192
All, 11000.090336570136, nan, -158.83324592018315, 0.23838222167446188, 0.852783155411806
0, 7400.06070275884, nan, -6.941780543327255, 0.6160414058708309, 0.8881730172730814
1a, 7400.06070275884, nan, -22.698787749594416, 0.3465358661890616, 0.8926470304436139
1b, 7400.06070275884, nan, -56.445310379058796, 0.4427754549179729, 0.8916224285960028
All, 7400.06070275884, nan, -164.83083317206683, 0.24015694007552746, 0.8560771716171951
0, 5000.040995363421, nan, -6.977258249235298, 0.618331250631782, 0.8974664597395688
1a, 5000.040995363421, nan, -23.824572940833683, 0.34915269551373024, 0.8950839126755334
1b, 5000.040995363421, nan, -58.91960465553451, 0.44801711460296323, 0.893580624936154
All, 5000.040995363421, nan, -171.8593229209922, 0.24259405221258423, 0.8593609811332813
0, 3500.02868507946, nan, -7.175998492068185, 0.6212134793786553, 0.9041517519504974
1a, 3500.02868507946, nan, -24.895394823027875, 0.3527322765424166, 0.898116598038907
1b, 3500.02868507946, nan, -61.28315416829751, 0.45498442320659205, 0.8960010560959337
All, 3500.02868507946, nan, -179.18822079176013, 0.24581448770492967, 0.8628001262831517
0, 3350.027475833156, nan, -7.2090212662355775, 0.6216470939443044, 0.9049339036431083
1a, 3350.027475833156, nan, -25.031189821174234, 0.3532737794038603, 0.898550451015632
1b, 3350.027475833156, nan, -61.585409180774874, 0.4560259596499053, 0.8963465879230549
All, 3350.027475833156, nan, -180.15915194937955, 0.2462971586953323, 0.8632678565833503
0, 2730.0223042423227, nan, -7.386740819513891, 0.623955705663594, 0.9085887637561441
1a, 2730.0223042423227, nan, -25.683637232347458, 0.3561628500602074, 0.9007682267033907
1b, 2730.0223042423227, nan, -63.05426606883114, 0.4615480307734465, 0.8981060017542535
All, 2730.0223042423227, nan, -184.95008980204415, 0.24886249404232996, 0.865611280171849
0, 2600.021230860895, nan, -7.434868577609887, 0.6245812978950037, 0.9094703160801216
1a, 2600.021230860895, nan, -25.844518902333625, 0.35694775084323155, 0.9013443863250934
1b, 2600.021230860895, nan, -63.4220635092501, 0.4630404499690555, 0.8985603197635841
All, 2600.021230860895, nan, -186.16258564698268, 0.2495575188405771, 0.8662109201642442
0, 2250.018447913539, nan, -7.591130419203993, 0.626626654045908, 0.9121316216805359
1a, 2250.018447913539, nan, -26.336984359647676, 0.3595211882257707, 0.9031615738338344
1b, 2250.018447913539, nan, -64.56637240622942, 0.46791746085276276, 0.8999821975616373
All, 2250.018447913539, nan, -189.94596395085526, 0.2518332334891101, 0.8680872025897753
0, 2000.0163981453682, nan, -7.73441545431025, 0.6285257702333045, 0.9143725181130944
1a, 2000.0163981453682, nan, -26.759438589226143, 0.36192156213318, 0.9047651874022848
1b, 2000.0163981453682, nan, -65.57425600456307, 0.4724497613463312, 0.9012193412175579
All, 2000.0163981453682, nan, -193.27118970213814, 0.25395367788308165, 0.8697307712313561
0, 1500.0122986090262, nan, -8.15266700562912, 0.6342135901199646, 0.9202313229498452
1a, 1500.0122986090262, nan, -27.902826802269328, 0.36917828268937825, 0.9091611802711577
1b, 1500.0122986090262, nan, -68.44365365077132, 0.4860882832943857, 0.9044991957489403
All, 1500.0122986090262, nan, -202.5615253063706, 0.2603632609939755, 0.8742176897525239
0, 1300.0106718037018, nan, -8.40159527946558, 0.6377088711884333, 0.9234037429270789
1a, 1300.0106718037018, nan, -28.550173706800365, 0.3736893637053711, 0.9116117981594801
1b, 1300.0106718037018, nan, -70.15672943239488, 0.4945257013689851, 0.9062482306435945
All, 1300.0106718037018, nan, -207.94301457796877, 0.26435112872910027, 0.8767268883195063
0, 1000.0081990726841, nan, -8.881894440094339, 0.6453047207574417, 0.930099675773588
1a, 1000.0081990726841, nan, -29.750397310868628, 0.3837358067783471, 0.9169246214092546
1b, 1000.0081990726841, nan, -73.11700557486525, 0.5137588386046595, 0.9100603914653436
All, 1000.0081990726841, nan, -217.3216269899526, 0.2733939654763804, 0.8824384314380922
0, 700.005737015892, nan, -9.753853573138294, 0.6597557217737221, 0.9402696032984205
1a, 700.005737015892, nan, -32.00225251012656, 0.4031953407528363, 0.9250631439515675
1b, 700.005737015892, nan, -78.84904955427233, 0.5499053672326931, 0.9156707226021455
All, 700.005737015892, nan, -234.50768634950836, 0.2908331809562811, 0.8915229644977941
0, 500.00409953634204, nan, -10.851827407735946, 0.679984673182622, 0.9508060551125171
1a, 500.00409953634204, nan, -35.29834545918165, 0.43075135522152075, 0.9333522204508357
1b, 500.00409953634204, nan, -86.4458203990699, 0.5982787597048047, 0.9214322014546936
All, 500.00409953634204, nan, -257.04918737422565, 0.3154652930970563, 0.9015842805725512
0, 350.002868507946, nan, -12.015158083052954, 0.7104381073174603, 0.9630938701480077
1a, 350.002868507946, nan, -40.080658750656035, 0.4737145997518387, 0.9432667745861509
1b, 350.002868507946, nan, -90.64745789834728, 0.6683922826402131, 0.9307998611452362
All, 350.002868507946, nan, -275.26784289634537, 0.3548454359210468, 0.9163844753313699
0, 226.001857212083, nan, -13.142305304170744, 0.7636708259316334, 0.976843403647925
1a, 226.001857212083, nan, -49.20975378562714, 0.5546763329367218, 0.9549666353934645
1b, 226.001857212083, nan, -81.41873263526567, 0.7778940128376611, 0.9484316676987143
All, 226.001857212083, nan, -273.50492592235264, 0.43350413912445, 0.9394747127542773
0, 184.80151060234402, nan, -13.510587701715414, 0.7951656179992592, 0.9816674792142497
1a, 184.80151060234402, nan, -56.253106446590984, 0.6052068730094071, 0.958661164649502
1b, 184.80151060234402, nan, -74.4638722139422, 0.83139909983742, 0.9563735093010972
All, 184.80151060234402, nan, -271.2127243634651, 0.486019909550204, 0.9487322431475521
0, 158.501296063549, nan, -13.647171052332736, 0.8219846105319368, 0.9846553432742264
1a, 158.501296063549, nan, -63.67159382525138, 0.6491438811380047, 0.9603708883807118
1b, 158.501296063549, nan, -70.59405602336524, 0.8701807378609812, 0.9609321097275589
All, 158.501296063549, nan, -275.0770639119638, 0.5342502020568216, 0.9539397843531745
0, 135.901112091636, nan, -13.83681054010253, 0.8496946367147482, 0.9868862869739325
1a, 135.901112091636, nan, -73.3751887725858, 0.6962938860036862, 0.9610638764711587
1b, 135.901112091636, nan, -69.68276216776762, 0.9049965588518326, 0.9635527404761568
All, 135.901112091636, nan, -287.0312024954051, 0.5892729306633987, 0.9572705615815397
0, 116.600954658356, nan, -14.283334978771663, 0.877360798274297, 0.9883200977744969
1a, 116.600954658356, nan, -86.04972823581, 0.7446712612858796, 0.9606104645771572
1b, 116.600954658356, nan, -73.39155720999698, 0.9337587295392284, 0.9637444734192807
All, 116.600954658356, nan, -311.512492711163, 0.6492869482453916, 0.9584830903995378
0, 100.000819907268, nan, -15.758764281054878, 0.903435494504994, 0.9886061997535691
1a, 100.000819907268, nan, -102.59476047625907, 0.7923111667367558, 0.958997840204637
1b, 100.000819907268, nan, -82.68016947367207, 0.9554003962437826, 0.9615031181746856
All, 100.000819907268, nan, -350.9744882302388, 0.7119954812729283, 0.9578040429761899
0, 85.770702480011, nan, -23.424819496131164, 0.8946170184287588, 0.9842066894840338
1a, 85.770702480011, nan, -137.08379629666356, 0.817500191941482, 0.948446578665273
1b, 85.770702480011, nan, -103.44373940808651, 0.9551922689252857, 0.9521890208227056
All, 85.770702480011, nan, -441.6817138643033, 0.7418677561420273, 0.9496735636217295
0, 73.570602450168, nan, -28.963521361656525, 0.9197123501132962, 0.9824708724155322
1a, 73.570602450168, nan, -165.30210289606367, 0.8563172622176397, 0.9457119052157253
1b, 73.570602450168, nan, -127.57904331498938, 0.965016860909881, 0.9456567451695136
All, 73.570602450168, nan, -514.0767909912739, 0.7975228268248693, 0.9473048784574291
0, 63.100517506719, nan, -38.42018800492747, 0.9418021647003041, 0.9791051151700139
1a, 63.100517506719, nan, -201.50496858818673, 0.8905994232060113, 0.9420579166863889
1b, 63.100517506719, nan, -162.97095392078802, 0.9706819087550871, 0.9362237217941656
All, 63.100517506719, nan, -606.398113712, 0.8481408690179265, 0.943887461505863
0, 54.12044358217, nan, -52.33278123323121, 0.9604438158911383, 0.9745287233191164
1a, 54.12044358217, nan, -247.82945367375837, 0.9193981666770767, 0.9373275235750498
1b, 54.12044358217, nan, -214.81539977118928, 0.9734659504045422, 0.9229984715285564
All, 54.12044358217, nan, -724.9107802103767, 0.8911808180489944, 0.9391956510897049
0, 46.420380378909, nan, -69.23710019036274, 0.9762284504063756, 0.9701659147283497
1a, 46.420380378909, nan, -310.49343952808, 0.9421780469965284, 0.93070418239977
1b, 46.420380378909, nan, -296.0932274418818, 0.9743559684255172, 0.903492921406928
All, 46.420380378909, nan, -882.1864387081685, 0.924846885166204, 0.9327678945884552
0, 42.990352509969, nan, -81.0180792856857, 0.9813187340274502, 0.9668352459057679
1a, 42.990352509969, nan, -348.62003840393544, 0.9516778632574059, 0.9262499360942659
1b, 42.990352509969, nan, -349.6897610515336, 0.9736425677482611, 0.8910593293774138
All, 42.990352509969, nan, -985.9981543944394, 0.9388190752698754, 0.927891262271568
0, 39.810326245729996, nan, -126.15011600038352, 0.9263829563960339, 0.9492356657426442
1a, 39.810326245729996, nan, -481.3700919308413, 0.9335233356568106, 0.8969703719982216
1b, 39.810326245729996, nan, -453.9522093401287, 0.9530472125224388, 0.859721391902855
All, 39.810326245729996, nan, -1282.6707412727349, 0.9202959916003464, 0.905699799424362
0, 36.870302361795, nan, -141.85828417666173, 0.9307653813053264, 0.9451637860659472
1a, 36.870302361795, nan, -535.481376639011, 0.9407689488746638, 0.8911300072580921
1b, 36.870302361795, nan, -535.4218526046538, 0.9517593566229664, 0.8430182245709704
All, 36.870302361795, nan, -1435.48473059338, 0.9314422255576814, 0.8986035807836679
0, 34.150280071806, nan, -159.00246957650154, 0.9350155538355482, 0.9408935418675758
1a, 34.150280071806, nan, -605.5735635945258, 0.9464357655480328, 0.8828218499001692
1b, 34.150280071806, nan, -642.5689484916028, 0.9501749563723964, 0.8218688866346808
All, 34.150280071806, nan, -1628.6234739343527, 0.9399881947604924, 0.8893201904284286
0, 29.290239773707, nan, -194.84962924704388, 0.9451734435750214, 0.9336490677994345
1a, 29.290239773707, nan, -821.9872681806843, 0.9545307178158497, 0.8569347124773395
1b, 29.290239773707, nan, -971.1916409176215, 0.9465035576255723, 0.7649361552433327
All, 29.290239773707, nan, -2193.368891755372, 0.9515321867361005, 0.862960408911932
0, 25.120206564013, nan, -231.07120544067575, 0.9559865970575255, 0.9293635747244297
1a, 25.120206564013, nan, -1170.8485975209107, 0.960773014989489, 0.8194507377648503
1b, 25.120206564013, nan, -1476.2804595528528, 0.9420927527725664, 0.696601228845457
All, 25.120206564013, nan, -3043.483448786399, 0.9594527475791426, 0.8273071887530803
0, 21.550176549842, nan, -278.1507124019122, 0.9574348819885256, 0.9238344011497508
1a, 21.550176549842, nan, -1605.6008364111285, 0.9668876964768718, 0.7776719232480153
1b, 21.550176549842, nan, -2043.2457394749167, 0.9366059450047208, 0.6352545950267833
All, 21.550176549842, nan, -4041.418879174441, 0.9663882946846648, 0.7886487376081885
0, 19.950163132289, nan, -310.7742583666999, 0.9520680600499115, 0.9203847926136834
1a, 19.950163132289, nan, -1820.1711674612775, 0.9701896785101962, 0.7584267622403291
1b, 19.950163132289, nan, -2296.267962563591, 0.9334298642173035, 0.6106184712652646
All, 19.950163132289, nan, -4517.6198877218685, 0.969868022451616, 0.7706441052198929
0, 18.480151060234, nan, -356.730614400779, 0.9425941842251891, 0.9133824520347756
1a, 18.480151060234, nan, -2026.6156491728384, 0.9734351285027596, 0.7390374931585675
1b, 18.480151060234, nan, -2530.110474858521, 0.929924932145383, 0.587525019686883
All, 18.480151060234, nan, -4996.456893994493, 0.9732016973542286, 0.7514610431510045
0, 17.11013985066, nan, -385.8312664022749, 0.9346162446383631, 0.9029708323429352
1a, 17.11013985066, nan, -2214.36197659412, 0.975719088788337, 0.7153988414553875
1b, 17.11013985066, nan, -2703.7855295135955, 0.9257370744909499, 0.5645054281470617
All, 17.11013985066, nan, -5386.223480464075, 0.9755267075789967, 0.7303760308026674
0, 15.850129606354, nan, -416.87086171107757, 0.9275183353522585, 0.8880321528359137
1a, 15.850129606354, nan, -2382.056177838078, 0.9769107085228124, 0.6902183213726514
1b, 15.850129606354, nan, -2838.2507061738092, 0.9205577291086094, 0.5421561809019604
All, 15.850129606354, nan, -5717.189442332423, 0.9766805980423746, 0.7082973105579702
0, 14.680120452488, nan, -454.04353854467263, 0.9175809428728088, 0.8755877573452173
1a, 14.680120452488, nan, -2512.48226333528, 0.9789397670678602, 0.6697657564690658
1b, 14.680120452488, nan, -2929.528366793882, 0.914718110411953, 0.5254869370721337
All, 14.680120452488, nan, -5969.904160785166, 0.9786183387168793, 0.6898897173603887
0, 13.590111209163, nan, -499.13582139260967, 0.903667284717031, 0.8678492377359768
1a, 13.590111209163, nan, -2557.519455140776, 0.982261820930444, 0.6580334631387645
1b, 13.590111209163, nan, -2920.91041005374, 0.9082729734095045, 0.5188376507596133
All, 13.590111209163, nan, -6056.177891146905, 0.9818267219683833, 0.6783182083112668
0, 12.590103417408, nan, -575.2131841851337, 0.8879054950779759, 0.8554822156004004
1a, 12.590103417408, nan, -2541.131287025555, 0.9854401364614455, 0.6516487817366491
1b, 12.590103417408, nan, -2844.667678772773, 0.9009077885754514, 0.518232270726501
All, 12.590103417408, nan, -6080.447283137228, 0.9848848508167003, 0.6682867593234936
0, 11.660095465835001, nan, -724.0159239547388, 0.8700235162809015, 0.8327892597458532
1a, 11.660095465835001, nan, -2520.876788491207, 0.9882124601880792, 0.6485107611815022
1b, 11.660095465835001, nan, -2768.9651325239593, 0.8923187151553378, 0.5204987175228952
All, 11.660095465835001, nan, -6250.4884370311565, 0.9875371663183276, 0.6540887182980563
0, 11.220092135066999, nan, -748.9952076766212, 0.8655020903965104, 0.8247236576286252
1a, 11.220092135066999, nan, -2512.9289853805776, 0.9888988310995056, 0.6435455993386503
1b, 11.220092135066999, nan, -2729.2965315140855, 0.8878517756421533, 0.5189371713220876
All, 11.220092135066999, nan, -6240.381033345303, 0.9881709807319002, 0.6480471786734944
0, 10.800088679676001, nan, -752.1645863459079, 0.8627434213475226, 0.8194381217301956
1a, 10.800088679676001, nan, -2483.617048258349, 0.9891987742615909, 0.6386053221626069
1b, 10.800088679676001, nan, -2676.882933235529, 0.8835364008524408, 0.5166835595221476
All, 10.800088679676001, nan, -6153.689532112835, 0.9884244008592492, 0.6441439384598935
0, 10.390085363387, nan, -768.825740566421, 0.8582225648153489, 0.8131079856893212
1a, 10.390085363387, nan, -2417.5625373952353, 0.9895427337049074, 0.6380743158026377
1b, 10.390085363387, nan, -2583.8279973652366, 0.8791766126643599, 0.5186315897583769
All, 10.390085363387, nan, -6027.576889166034, 0.9887242735119406, 0.6417058587902789
0, 10.000081990725999, nan, -797.7731825486662, 0.8536458606170738, 0.8048519510216852
1a, 10.000081990725999, nan, -2390.823681429783, 0.9898577969985773, 0.6356146559622442
1b, 10.000081990725999, nan, -2539.2571821891543, 0.8752127126100302, 0.517747675693776
All, 10.000081990725999, nan, -6005.474844400069, 0.9889989349576405, 0.6366468888278874
0, 9.810080441738, nan, -1388.9972525510148, 0.8165891385081072, 0.7075893688114321
1a, 9.810080441738, nan, -4518.527794544608, 0.8748416638968499, 0.502565625660153
1b, 9.810080441738, nan, -4307.752784802488, 0.8594060380075758, 0.39242428975235644
All, 9.810080441738, nan, -10527.345581329118, 0.8746669610417032, 0.5092062360176517
